"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2023","AQS","260650018","1","16.4","ppb","15","LANSING / FILLEY STREET","23","96.0000","42602","Nitrogen dioxide (NO2)","074","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"01/02/2023","AQS","260650018","1","13.5","ppb","12","LANSING / FILLEY STREET","23","96.0000","42602","Nitrogen dioxide (NO2)","074","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"01/03/2023","AQS","260650018","1","15.8","ppb","14","LANSING / FILLEY STREET","23","96.0000","42602","Nitrogen dioxide (NO2)","074","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"01/04/2023","AQS","260650018","1","13.4","ppb","12","LANSING / FILLEY STREET","23","96.0000","42602","Nitrogen dioxide (NO2)","074","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"01/05/2023","AQS","260650018","1","13.9","ppb","12","LANSING / FILLEY STREET","23","96.0000","42602","Nitrogen dioxide (NO2)","074","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"01/06/2023","AQS","260650018","1","11.2","ppb","10","LANSING / FILLEY STREET","20","83.0000","42602","Nitrogen dioxide (NO2)","074","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"01/07/2023","AQS","260650018","1","5","ppb","5","LANSING / FILLEY STREET","23","96.0000","42602","Nitrogen dioxide (NO2)","074","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"01/08/2023","AQS","260650018","1","7.1","ppb","7","LANSING / FILLEY STREET","23","96.0000","42602","Nitrogen dioxide (NO2)","074","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"01/09/2023","AQS","260650018","1","19.5","ppb","18","LANSING / FILLEY STREET","23","96.0000","42602","Nitrogen dioxide (NO2)","074","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"01/10/2023","AQS","260650018","1","26.4","ppb","25","LANSING / FILLEY STREET","23","96.0000","42602","Nitrogen dioxide (NO2)","074","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"01/11/2023","AQS","260650018","1","25.2","ppb","24","LANSING / FILLEY STREET","23","96.0000","42602","Nitrogen dioxide (NO2)","074","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"01/12/2023","AQS","260650018","1","14.9","ppb","13","LANSING / FILLEY STREET","23","96.0000","42602","Nitrogen dioxide (NO2)","074","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"01/13/2023","AQS","260650018","1","5.6","ppb","5","LANSING / FILLEY STREET","23","96.0000","42602","Nitrogen dioxide (NO2)","074","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"01/14/2023","AQS","260650018","1","32.3","ppb","30","LANSING / FILLEY STREET","23","96.0000","42602","Nitrogen dioxide (NO2)","074","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"01/15/2023","AQS","260650018","1","22.9","ppb","21","LANSING / FILLEY STREET","23","96.0000","42602","Nitrogen dioxide (NO2)","074","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"01/16/2023","AQS","260650018","1","21.6","ppb","20","LANSING / FILLEY STREET","23","96.0000","42602","Nitrogen dioxide (NO2)","074","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"01/17/2023","AQS","260650018","1","18.1","ppb","17","LANSING / FILLEY STREET","23","96.0000","42602","Nitrogen dioxide (NO2)","074","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"01/18/2023","AQS","260650018","1","8","ppb","8","LANSING / FILLEY STREET","20","83.0000","42602","Nitrogen dioxide (NO2)","074","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"01/19/2023","AQS","260650018","1","16.2","ppb","15","LANSING / FILLEY STREET","23","96.0000","42602","Nitrogen dioxide (NO2)","074","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"01/20/2023","AQS","260650018","1","7","ppb","7","LANSING / FILLEY STREET","23","96.0000","42602","Nitrogen dioxide (NO2)","074","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"01/21/2023","AQS","260650018","1","5.7","ppb","5","LANSING / FILLEY STREET","23","96.0000","42602","Nitrogen dioxide (NO2)","074","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"01/22/2023","AQS","260650018","1","8.8","ppb","8","LANSING / FILLEY STREET","23","96.0000","42602","Nitrogen dioxide (NO2)","074","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"01/23/2023","AQS","260650018","1","17.1","ppb","16","LANSING / FILLEY STREET","22","92.0000","42602","Nitrogen dioxide (NO2)","074","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"01/24/2023","AQS","260650018","1","16.2","ppb","15","LANSING / FILLEY STREET","23","96.0000","42602","Nitrogen dioxide (NO2)","074","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"01/25/2023","AQS","260650018","1","13.6","ppb","12","LANSING / FILLEY STREET","22","92.0000","42602","Nitrogen dioxide (NO2)","074","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"01/26/2023","AQS","260650018","1","14.6","ppb","13","LANSING / FILLEY STREET","23","96.0000","42602","Nitrogen dioxide (NO2)","074","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
