"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/26/2023","AQS","260810020","1","11","ug/m3 SC","10","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"01/27/2023","AQS","260810020","1","14","ug/m3 SC","13","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"01/28/2023","AQS","260810020","1","15","ug/m3 SC","14","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"01/29/2023","AQS","260810020","1","9","ug/m3 SC","8","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"01/30/2023","AQS","260810020","1","10","ug/m3 SC","9","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"01/31/2023","AQS","260810020","1","15","ug/m3 SC","14","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"02/01/2023","AQS","260810020","1","22","ug/m3 SC","20","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"02/02/2023","AQS","260810020","1","22","ug/m3 SC","20","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"02/03/2023","AQS","260810020","1","29","ug/m3 SC","27","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"02/04/2023","AQS","260810020","1","22","ug/m3 SC","20","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"02/05/2023","AQS","260810020","1","17","ug/m3 SC","16","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"02/06/2023","AQS","260810020","1","17","ug/m3 SC","16","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"02/07/2023","AQS","260810020","1","19","ug/m3 SC","18","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"02/08/2023","AQS","260810020","1","25","ug/m3 SC","23","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"02/09/2023","AQS","260810020","1","15","ug/m3 SC","14","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"02/10/2023","AQS","260810020","1","8","ug/m3 SC","7","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"02/11/2023","AQS","260810020","1","12","ug/m3 SC","11","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"02/12/2023","AQS","260810020","1","17","ug/m3 SC","16","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"02/13/2023","AQS","260810020","1","20","ug/m3 SC","19","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"02/14/2023","AQS","260810020","1","24","ug/m3 SC","22","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"02/15/2023","AQS","260810020","1","10","ug/m3 SC","9","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"02/16/2023","AQS","260810020","1","8","ug/m3 SC","7","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"02/17/2023","AQS","260810020","1","7","ug/m3 SC","6","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"02/18/2023","AQS","260810020","1","16","ug/m3 SC","15","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"02/19/2023","AQS","260810020","1","14","ug/m3 SC","13","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"02/20/2023","AQS","260810020","1","19","ug/m3 SC","18","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"02/21/2023","AQS","260810020","1","16","ug/m3 SC","15","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"02/22/2023","AQS","260810020","1","9","ug/m3 SC","8","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"02/23/2023","AQS","260810020","1","7","ug/m3 SC","6","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"02/24/2023","AQS","260810020","1","12","ug/m3 SC","11","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"02/25/2023","AQS","260810020","1","17","ug/m3 SC","16","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"02/26/2023","AQS","260810020","1","16","ug/m3 SC","15","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"02/27/2023","AQS","260810020","1","11","ug/m3 SC","10","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"02/28/2023","AQS","260810020","1","12","ug/m3 SC","11","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"03/01/2023","AQS","260810020","1","20","ug/m3 SC","19","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"03/02/2023","AQS","260810020","1","15","ug/m3 SC","14","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"03/03/2023","AQS","260810020","1","19","ug/m3 SC","18","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"03/04/2023","AQS","260810020","1","18","ug/m3 SC","17","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"03/05/2023","AQS","260810020","1","14","ug/m3 SC","13","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"03/06/2023","AQS","260810020","1","15","ug/m3 SC","14","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"03/07/2023","AQS","260810020","1","11","ug/m3 SC","10","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"03/08/2023","AQS","260810020","1","15","ug/m3 SC","14","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"03/09/2023","AQS","260810020","1","11","ug/m3 SC","10","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"03/10/2023","AQS","260810020","1","8","ug/m3 SC","7","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"03/11/2023","AQS","260810020","1","9","ug/m3 SC","8","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"03/12/2023","AQS","260810020","1","9","ug/m3 SC","8","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"03/13/2023","AQS","260810020","1","11","ug/m3 SC","10","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"03/14/2023","AQS","260810020","1","11","ug/m3 SC","10","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"03/15/2023","AQS","260810020","1","17","ug/m3 SC","16","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"03/16/2023","AQS","260810020","1","23","ug/m3 SC","21","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"03/17/2023","AQS","260810020","1","8","ug/m3 SC","7","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"03/18/2023","AQS","260810020","1","10","ug/m3 SC","9","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"03/19/2023","AQS","260810020","1","10","ug/m3 SC","9","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"03/20/2023","AQS","260810020","1","18","ug/m3 SC","17","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"03/28/2023","AQS","260810020","1","18","ug/m3 SC","17","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"03/29/2023","AQS","260810020","1","17","ug/m3 SC","16","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"03/30/2023","AQS","260810020","1","15","ug/m3 SC","14","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"03/31/2023","AQS","260810020","1","21","ug/m3 SC","19","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"04/01/2023","AQS","260810020","1","9","ug/m3 SC","8","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"04/02/2023","AQS","260810020","1","10","ug/m3 SC","9","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"04/03/2023","AQS","260810020","1","13","ug/m3 SC","12","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"04/04/2023","AQS","260810020","1","9","ug/m3 SC","8","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"04/05/2023","AQS","260810020","1","14","ug/m3 SC","13","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"04/06/2023","AQS","260810020","1","12","ug/m3 SC","11","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"04/07/2023","AQS","260810020","1","11","ug/m3 SC","10","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"04/08/2023","AQS","260810020","1","24","ug/m3 SC","22","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"04/09/2023","AQS","260810020","1","32","ug/m3 SC","30","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"04/10/2023","AQS","260810020","1","31","ug/m3 SC","29","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"04/11/2023","AQS","260810020","1","34","ug/m3 SC","31","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"04/12/2023","AQS","260810020","1","39","ug/m3 SC","36","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"04/13/2023","AQS","260810020","1","36","ug/m3 SC","33","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"04/14/2023","AQS","260810020","1","46","ug/m3 SC","43","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"04/15/2023","AQS","260810020","1","39","ug/m3 SC","36","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"04/16/2023","AQS","260810020","1","13","ug/m3 SC","12","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"04/17/2023","AQS","260810020","1","3","ug/m3 SC","3","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"04/18/2023","AQS","260810020","1","7","ug/m3 SC","6","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"04/19/2023","AQS","260810020","1","14","ug/m3 SC","13","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"04/20/2023","AQS","260810020","1","20","ug/m3 SC","19","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"04/21/2023","AQS","260810020","1","10","ug/m3 SC","9","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"04/22/2023","AQS","260810020","1","9","ug/m3 SC","8","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"04/23/2023","AQS","260810020","1","4","ug/m3 SC","4","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"04/24/2023","AQS","260810020","1","14","ug/m3 SC","13","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"04/25/2023","AQS","260810020","1","14","ug/m3 SC","13","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"04/26/2023","AQS","260810020","1","10","ug/m3 SC","9","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"04/27/2023","AQS","260810020","1","24","ug/m3 SC","22","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"04/28/2023","AQS","260810020","1","25","ug/m3 SC","23","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"04/29/2023","AQS","260810020","1","16","ug/m3 SC","15","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"04/30/2023","AQS","260810020","1","4","ug/m3 SC","4","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"05/01/2023","AQS","260810020","1","2","ug/m3 SC","2","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"05/02/2023","AQS","260810020","1","3","ug/m3 SC","3","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"05/03/2023","AQS","260810020","1","8","ug/m3 SC","7","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"05/04/2023","AQS","260810020","1","17","ug/m3 SC","16","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"05/05/2023","AQS","260810020","1","18","ug/m3 SC","17","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"05/06/2023","AQS","260810020","1","13","ug/m3 SC","12","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"05/07/2023","AQS","260810020","1","17","ug/m3 SC","16","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"05/08/2023","AQS","260810020","1","12","ug/m3 SC","11","GR-MONROE","1","100.0000","81102","PM10 Total 0-10um STP","239","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
