"Date","Source","Site ID","POC","Daily Mean Pb Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/06/2023","AQS","260670003","1","0","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","189","26960","Ionia, MI","26","Michigan","067","Ionia","43.0999430009413","-85.222266"
"01/12/2023","AQS","260670003","1","0.002","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","189","26960","Ionia, MI","26","Michigan","067","Ionia","43.0999430009413","-85.222266"
"01/18/2023","AQS","260670003","1","0.001","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","189","26960","Ionia, MI","26","Michigan","067","Ionia","43.0999430009413","-85.222266"
"01/24/2023","AQS","260670003","1","0.001","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","189","26960","Ionia, MI","26","Michigan","067","Ionia","43.0999430009413","-85.222266"
"01/30/2023","AQS","260670003","1","0","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","189","26960","Ionia, MI","26","Michigan","067","Ionia","43.0999430009413","-85.222266"
"02/05/2023","AQS","260670003","1","0.001","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","189","26960","Ionia, MI","26","Michigan","067","Ionia","43.0999430009413","-85.222266"
"02/11/2023","AQS","260670003","1","0.001","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","189","26960","Ionia, MI","26","Michigan","067","Ionia","43.0999430009413","-85.222266"
"02/26/2023","AQS","260670003","1","0.001","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","189","26960","Ionia, MI","26","Michigan","067","Ionia","43.0999430009413","-85.222266"
"03/01/2023","AQS","260670003","1","0.001","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","189","26960","Ionia, MI","26","Michigan","067","Ionia","43.0999430009413","-85.222266"
"03/07/2023","AQS","260670003","1","0.001","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","189","26960","Ionia, MI","26","Michigan","067","Ionia","43.0999430009413","-85.222266"
