Date,Site ID,Local Site Name,AQS Parameter Description,Daily Mean PM2.5 Concentration,Units,Daily AQI Value,Local Site Name_ozone,AQS Parameter Description_ozone,Daily Max 8-hour Ozone Concentration,Units_ozone,Daily AQI Value_ozone,Local Site Name_so2,AQS Parameter Description_so2,Daily Max 1-hour SO2 Concentration,Units_so2,Daily AQI Value_so2,Local Site Name_no2,AQS Parameter Description_no2,Daily Max 1-hour NO2 Concentration,Units_no2,Daily AQI Value_no2,Local Site Name_co,Site Latitude,Site Longitude,AQS Parameter Description_co,Daily Max 8-hour CO Concentration,Units_co,Daily AQI Value_co,Local Site Name_pm10,AQS Parameter Description_pm10,Daily Mean PM10 Concentration,Units_pm10,Daily AQI Value_pm10,Local Site Name_pb,AQS Parameter Description_pb,Daily Mean Pb Concentration,Units_pb,Daily AQI Value_pb
01/01/2023,260050003,Holland,PM2.5 - Local Conditions,12.1,ug/m3 LC,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2023,260050003,Holland,PM2.5 - Local Conditions,13.9,ug/m3 LC,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/03/2023,260050003,Holland,PM2.5 - Local Conditions,6.2,ug/m3 LC,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2023,260050003,Holland,PM2.5 - Local Conditions,4.0,ug/m3 LC,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/05/2023,260050003,Holland,PM2.5 - Local Conditions,5.2,ug/m3 LC,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/2023,260050003,Holland,PM2.5 - Local Conditions,3.6,ug/m3 LC,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/07/2023,260050003,Holland,PM2.5 - Local Conditions,3.3,ug/m3 LC,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2023,260050003,Holland,PM2.5 - Local Conditions,5.7,ug/m3 LC,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/09/2023,260050003,Holland,PM2.5 - Local Conditions,12.3,ug/m3 LC,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/10/2023,260050003,Holland,PM2.5 - Local Conditions,15.7,ug/m3 LC,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/11/2023,260050003,Holland,PM2.5 - Local Conditions,18.9,ug/m3 LC,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2023,260050003,Holland,PM2.5 - Local Conditions,10.4,ug/m3 LC,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/13/2023,260050003,Holland,PM2.5 - Local Conditions,2.5,ug/m3 LC,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/14/2023,260050003,Holland,PM2.5 - Local Conditions,2.6,ug/m3 LC,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/15/2023,260050003,Holland,PM2.5 - Local Conditions,9.0,ug/m3 LC,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/16/2023,260050003,Holland,PM2.5 - Local Conditions,6.3,ug/m3 LC,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/17/2023,260050003,Holland,PM2.5 - Local Conditions,5.4,ug/m3 LC,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/18/2023,260050003,Holland,PM2.5 - Local Conditions,1.9,ug/m3 LC,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/19/2023,260050003,Holland,PM2.5 - Local Conditions,2.3,ug/m3 LC,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/20/2023,260050003,Holland,PM2.5 - Local Conditions,1.6,ug/m3 LC,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/21/2023,260050003,Holland,PM2.5 - Local Conditions,5.4,ug/m3 LC,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/22/2023,260050003,Holland,PM2.5 - Local Conditions,7.8,ug/m3 LC,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/23/2023,260050003,Holland,PM2.5 - Local Conditions,5.0,ug/m3 LC,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/24/2023,260050003,Holland,PM2.5 - Local Conditions,10.3,ug/m3 LC,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/25/2023,260050003,Holland,PM2.5 - Local Conditions,12.8,ug/m3 LC,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/26/2023,260050003,Holland,PM2.5 - Local Conditions,2.1,ug/m3 LC,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/27/2023,260050003,Holland,PM2.5 - Local Conditions,4.4,ug/m3 LC,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/28/2023,260050003,Holland,PM2.5 - Local Conditions,4.6,ug/m3 LC,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/29/2023,260050003,Holland,PM2.5 - Local Conditions,3.0,ug/m3 LC,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/30/2023,260050003,Holland,PM2.5 - Local Conditions,1.5,ug/m3 LC,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/31/2023,260050003,Holland,PM2.5 - Local Conditions,4.3,ug/m3 LC,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2023,260050003,Holland,PM2.5 - Local Conditions,5.0,ug/m3 LC,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/02/2023,260050003,Holland,PM2.5 - Local Conditions,5.1,ug/m3 LC,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/03/2023,260050003,Holland,PM2.5 - Local Conditions,1.0,ug/m3 LC,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
